[399405000] ID:0 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff2efef8009afe9e01d9fec6
[399415000] ID:1 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe7eff2400bafeab01c8fed3
[399425000] ID:2 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff59ff79004bfeae01c3fed6
[399435000] ID:3 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000000bf0000ff9cfead01c5fed5
[399445000] ID:4 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000200000bfeeefeab01c8fed3
[399455000] ID:5 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000256ffb4fe69fea701cdfece
[399465000] ID:6 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000021dff76fe14fe9e01dafeca
[399475000] ID:7 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001f7ff2dfdf3fe9e01d1fed0
[399485000] ID:8 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001d8feecfdc8fea101ccfed4
[399495000] ID:9 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018dfeb1fd97fe9501d3fecf
[399505000] ID:10 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000136fe9afd74fe8801e1fec5
[399515000] ID:11 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000010bfe78fd63fe8901e8fec0
[399525000] ID:12 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000012bfe72fd5ffea601cafed2
[399535000] ID:13 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001adfe99fd7bfed50185ff00
[399545000] ID:14 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000262fef8fdbdfee3016eff0f
[399555000] ID:15 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000002f1ff3afdf5feb701a5feeb
[399565000] ID:16 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000312ff42fe02fe9e01c9fed5
[399575000] ID:17 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000303ff57fe08fe8901e5fec3
[399585000] ID:18 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000032bffb0fe2cfe8101f3feba
[399595000] ID:19 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003a6001bfe58fe9201defec8
[399605000] ID:20 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000424006afe6ffea101cefed1
[399615000] ID:21 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000044f007efe72fea901c4fed8
[399625000] ID:22 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000004460089fe87feb201b7fee0
[399635000] ID:23 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000043c0092fe9dfebd01adfeea
[399645000] ID:24 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000448006ffef8fec00196fef1
[399655000] ID:25 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000042100deffa1feb101adfedf
[399665000] ID:26 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000041301f400fefeae01b3fee3
[399675000] ID:27 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000044f029f0219feac01b7fee3
[399685000] ID:28 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000045c02ca026bfeb401acfee8
[399695000] ID:29 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000045502d80271fec1019cfef2
[399705000] ID:30 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000045602dd0272feca0189fefe
[399715000] ID:31 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000045602d80266fee3016cff11
[399725000] ID:32 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000046402960237fef20169ff13
[399735000] ID:33 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000043602c101fbfeeb0178ff09
[399745000] ID:34 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000436027101c4fedf017bff07
[399755000] ID:35 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000040801e80106fedd0177ff0a
[399765000] ID:36 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003e7018800a7fed9017bff07
[399775000] ID:37 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003e50138007bfed60187feff
[399785000] ID:38 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003b301f100defee10172ff0e
[399795000] ID:39 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000040f02540177fee50170ff0f
[399805000] ID:40 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000450029c01a6fef60168ff0e
[399815000] ID:41 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000045f026101b9fef0016dff0b
[399825000] ID:42 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000044802d20225fee40179ff10
[399835000] ID:43 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000044602c7024efedf017aff12
[399845000] ID:44 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000434027d0212fef40156ff29
