[396715000] ID:0 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e0125ff23fc50fc60fc60
[396725000] ID:1 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000015d00f5ff3bfc40fc50fc50
[396735000] ID:2 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000054008dffccfc48fc58fc58
[396745000] ID:3 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe9b00040095fc48fc58fc58
[396755000] ID:4 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdda00040145fc48fc58fc58
[396765000] ID:5 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe1a006401befc48fc58fc58
[396775000] ID:6 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe4a00ad020efc48fc58fc60
[396785000] ID:7 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe4201050216fc58fc70fc78
[396795000] ID:8 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe72014d024efc68fc81fc89
[396805000] ID:9 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fecb018e0287fc60fc81fc89
[396815000] ID:10 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff1301ae02a7fc60fc81fc89
[396825000] ID:11 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff3301ce02b7fc78fc89fc91
[396835000] ID:12 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fef301ce02bffca9fcb1fcb9
[396845000] ID:13 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe620196029ffcd9fce9fcf1
[396855000] ID:14 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdaa012d024efcc1fcd9fce1
[396865000] ID:15 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd4900e50226fc70fc91fc99
[396875000] ID:16 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd8200e50236fc58fc78fc81
[396885000] ID:17 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd9a00b50236fc40fc60fc68
[396895000] ID:18 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd39004401f6fc30fc50fc58
[396905000] ID:19 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca1ffd401befc38fc58fc60
